scope_of_practice,work_setting,employment_type,is_this_their_current_practice,employer_postcode,organisation_name,organisation_country
Policy,Trade union or professional body,Volunteering,FALSE,testpostcode1,Test organisation 1,England
Education,Care home sector,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
Education,Consultancy,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Scotland
Policy,Maternity unit or birth centre,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – school nursing,University or other research facility,Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – occupational health,Trade union or professional body,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – school nursing,Inspectorate or regulator,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – mental health nursing,Private domestic setting,Self employed,TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – occupational health,Consultancy,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – learning disabilities nursing,School,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Other,Cosmetic or aesthetic sector,Volunteering,FALSE,testpostcode1,Test organisation 2,England
Other,Prison,Self employed,FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – health visiting,University or other research facility,Volunteering,TRUE,testpostcode2,Test organisation 2,Outside UK
Research,Hospital or other secondary care,Employed via an agency,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – mental health nursing,Inspectorate or regulator,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – children’s and neo-natal nursing,Governing body or other leadership,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Outside UK
Quality assurance or inspection,Other,Self employed,TRUE,testpostcode1,Test organisation 1,England
Research,Voluntary or charity sector,Volunteering,TRUE,testpostcode2,Test organisation 1,Wales
Education,Hospital or other secondary care,Volunteering,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Consultancy,Volunteering,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – public health,Ambulance service,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – other,University or other research facility,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
Policy,"Community setting, including district nursing and community psychiatric nursing",Volunteering,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – adult and general care nursing,Governing body or other leadership,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
